,YY,CC,LE,LEPred
AS,1965,AS,56.73448276,
EU,1965,EU,69.57435897,
NA,1965,NA,60.68095238,
OC,1965,OC,58.075,
SA,1965,SA,59.12307692,
AllWorld,1965,AllWorld,58.07483036,
AF,1966,AF,44.51111111,
AS,1966,AS,57.33793103,
EU,1966,EU,69.83333333,
NA,1966,NA,61.16190476,
OC,1966,OC,58.12,
SA,1966,SA,59.45384615,
AllWorld,1966,AllWorld,58.40302107,
AF,1967,AF,44.89444444,
AS,1967,AS,57.8137931,
EU,1967,EU,70.03076923,
NA,1967,NA,61.48571429,
OC,1967,OC,58.985,
SA,1967,SA,59.8,
AllWorld,1967,AllWorld,58.83495351,
AF,1968,AF,45.27037037,
AS,1968,AS,58.47586207,
EU,1968,EU,69.93076923,
NA,1968,NA,61.82857143,
OC,1968,OC,59.425,
SA,1968,SA,60.13846154,
AllWorld,1968,AllWorld,59.17817244,
AF,1969,AF,45.33518519,
AS,1969,AS,59.02758621,
EU,1969,EU,69.84358974,
NA,1969,NA,62.1952381,
OC,1969,OC,59.88,
SA,1969,SA,60.4,
AllWorld,1969,AllWorld,59.44693321,
AF,1970,AF,45.77037037,
AS,1970,AS,59.55172414,
EU,1970,EU,70.16923077,
NA,1970,NA,62.55714286,
OC,1970,OC,60.295,
SA,1970,SA,60.17692308,
AllWorld,1970,AllWorld,59.75339854,
AF,1971,AF,46.33333333,
AS,1971,AS,59.98965517,
EU,1971,EU,70.21538462,
NA,1971,NA,63.04285714,
OC,1971,OC,60.8,
SA,1971,SA,61.11538462,
AllWorld,1971,AllWorld,60.24943581,
AF,1972,AF,46.56851852,
AS,1972,AS,60.7,
EU,1972,EU,70.71794872,
NA,1972,NA,63.07619048,
OC,1972,OC,61.09,
SA,1972,SA,61.39230769,
AllWorld,1972,AllWorld,60.59082757,
AF,1973,AF,47.34814815,
AS,1973,AS,60.36896552,
EU,1973,EU,70.77692308,
NA,1973,NA,63.81904762,
OC,1973,OC,61.535,
SA,1973,SA,61.86923077,
AllWorld,1973,AllWorld,60.95288586,
AF,1974,AF,47.75925926,
AS,1974,AS,61.15172414,
EU,1974,EU,71.17179487,
NA,1974,NA,64.1,
OC,1974,OC,61.955,
SA,1974,SA,62.26153846,
AllWorld,1974,AllWorld,61.39988612,
AF,1975,AF,47.92037037,
AS,1975,AS,61.8,
EU,1975,EU,71.15897436,
NA,1975,NA,64.72380952,
OC,1975,OC,62.19,
SA,1975,SA,62.72307692,
AllWorld,1975,AllWorld,61.7527052,
AF,1976,AF,48.33148148,
AS,1976,AS,61.50344828,
EU,1976,EU,71.33333333,
NA,1976,NA,64.77619048,
OC,1976,OC,62.645,
SA,1976,SA,63.01538462,
AllWorld,1976,AllWorld,61.9341397,
AF,1977,AF,49.09074074,
AS,1977,AS,62.78965517,
EU,1977,EU,71.73333333,
NA,1977,NA,65.36666667,
OC,1977,OC,62.925,
SA,1977,SA,63.47692308,
AllWorld,1977,AllWorld,62.56371983,
AF,1978,AF,49.55925926,
AS,1978,AS,63.22413793,
EU,1978,EU,71.76153846,
NA,1978,NA,65.56190476,
OC,1978,OC,63.375,
SA,1978,SA,63.85384615,
AllWorld,1978,AllWorld,62.88928109,
AF,1979,AF,50.05555556,
AS,1979,AS,63.64827586,
EU,1979,EU,71.93333333,
NA,1979,NA,65.67619048,
OC,1979,OC,63.755,
SA,1979,SA,64.16923077,
AllWorld,1979,AllWorld,63.20626433,
AF,1980,AF,50.63333333,
AS,1980,AS,63.87241379,
EU,1980,EU,71.88205128,
NA,1980,NA,66.08095238,
OC,1980,OC,64.065,
SA,1980,SA,64.5,
AllWorld,1980,AllWorld,63.50562513,
AF,1981,AF,51.12222222,
AS,1981,AS,64.07931034,
EU,1981,EU,72.16666667,
NA,1981,NA,66.41428571,
OC,1981,OC,64.45,
SA,1981,SA,64.93076923,
AllWorld,1981,AllWorld,63.86054236,
AF,1982,AF,51.57037037,
AS,1982,AS,63.63793103,
EU,1982,EU,72.54871795,
NA,1982,NA,66.54285714,
OC,1982,OC,64.75,
SA,1982,SA,65.23076923,
AllWorld,1982,AllWorld,64.04677429,
AF,1983,AF,51.55,
AS,1983,AS,64.8137931,
EU,1983,EU,72.55641026,
NA,1983,NA,66.94761905,
OC,1983,OC,65.105,
SA,1983,SA,65.45384615,
AllWorld,1983,AllWorld,64.40444476,
AF,1984,AF,51.78703704,
AS,1984,AS,65.10689655,
EU,1984,EU,72.70769231,
NA,1984,NA,67.49047619,
OC,1984,OC,65.46,
SA,1984,SA,65.78461538,
AllWorld,1984,AllWorld,64.72278625,
AF,1985,AF,52.1462963,
AS,1985,AS,65.43793103,
EU,1985,EU,72.74102564,
NA,1985,NA,67.79047619,
OC,1985,OC,65.72,
SA,1985,SA,66.00769231,
AllWorld,1985,AllWorld,64.97390358,
AF,1986,AF,52.52962963,
AS,1986,AS,65.91034483,
EU,1986,EU,73.3,
NA,1986,NA,68.19047619,
OC,1986,OC,65.945,
SA,1986,SA,66.50769231,
AllWorld,1986,AllWorld,65.39719049,
AF,1987,AF,52.53703704,
AS,1987,AS,66.32068966,
EU,1987,EU,73.39230769,
NA,1987,NA,68.49047619,
OC,1987,OC,66.125,
SA,1987,SA,66.89230769,
AllWorld,1987,AllWorld,65.62630304,
AF,1988,AF,52.40555556,
AS,1988,AS,66.13448276,
EU,1988,EU,73.67435897,
NA,1988,NA,68.91904762,
OC,1988,OC,66.515,
SA,1988,SA,67.25384615,
AllWorld,1988,AllWorld,65.81704851,
AF,1989,AF,53.15925926,
AS,1989,AS,67.08965517,
EU,1989,EU,73.82051282,
NA,1989,NA,69.08571429,
OC,1989,OC,66.685,
SA,1989,SA,67.55384615,
AllWorld,1989,AllWorld,66.23233128,
AF,1990,AF,53.22407407,
AS,1990,AS,67.26896552,
EU,1990,EU,73.92564103,
NA,1990,NA,69.47142857,
OC,1990,OC,66.89,
SA,1990,SA,67.85384615,
AllWorld,1990,AllWorld,66.43899256,
AF,1991,AF,53.03518519,
AS,1991,AS,67.8,
EU,1991,EU,73.93333333,
NA,1991,NA,69.8,
OC,1991,OC,67.115,
SA,1991,SA,68.2,
AllWorld,1991,AllWorld,66.64725309,
AF,1992,AF,52.79259259,
AS,1992,AS,67.82068966,
EU,1992,EU,73.68461538,
NA,1992,NA,70.11904762,
OC,1992,OC,67.195,
SA,1992,SA,68.48461538,
AllWorld,1992,AllWorld,66.68276011,
AF,1993,AF,53.09444444,
AS,1993,AS,68.05862069,
EU,1993,EU,73.53589744,
NA,1993,NA,70.28095238,
OC,1993,OC,67.465,
SA,1993,SA,68.77692308,
AllWorld,1993,AllWorld,66.86863967,
AF,1994,AF,53.23333333,
AS,1994,AS,68.34137931,
EU,1994,EU,74.2974359,
NA,1994,NA,70.42857143,
OC,1994,OC,67.705,
SA,1994,SA,69.10769231,
AllWorld,1994,AllWorld,67.18556871,
AF,1995,AF,53.44259259,
AS,1995,AS,68.59655172,
EU,1995,EU,74.35897436,
NA,1995,NA,70.6952381,
OC,1995,OC,67.935,
SA,1995,SA,69.25384615,
AllWorld,1995,AllWorld,67.38036715,
AF,1996,AF,53.48518519,
AS,1996,AS,68.80689655,
EU,1996,EU,74.76410256,
NA,1996,NA,70.97142857,
OC,1996,OC,68.165,
SA,1996,SA,69.54615385,
AllWorld,1996,AllWorld,67.62312779,
AF,1997,AF,53.5,
AS,1997,AS,68.99655172,
EU,1997,EU,75.05641026,
NA,1997,NA,71.20952381,
OC,1997,OC,68.255,
SA,1997,SA,69.84615385,
AllWorld,1997,AllWorld,67.81060661,
AF,1998,AF,53.13518519,
AS,1998,AS,69.22758621,
EU,1998,EU,75.3,
NA,1998,NA,71.11428571,
OC,1998,OC,68.595,
SA,1998,SA,70.09230769,
AllWorld,1998,AllWorld,67.91072747,
AF,1999,AF,53.82592593,
AS,1999,AS,69.60344828,
EU,1999,EU,75.50512821,
NA,1999,NA,71.74761905,
OC,1999,OC,68.78,
SA,1999,SA,70.31538462,
AllWorld,1999,AllWorld,68.29625101,
AF,2000,AF,54.49074074,
AS,2000,AS,69.91034483,
EU,2000,EU,75.75897436,
NA,2000,NA,72.02857143,
OC,2000,OC,69.06,
SA,2000,SA,70.63076923,
AllWorld,2000,AllWorld,68.64656676,
AF,2001,AF,54.80555556,
AS,2001,AS,70.25862069,
EU,2001,EU,76.16153846,
NA,2001,NA,72.23333333,
OC,2001,OC,69.31,
SA,2001,SA,70.76923077,
AllWorld,2001,AllWorld,68.92304647,
AF,2002,AF,55.21111111,
AS,2002,AS,70.52413793,
EU,2002,EU,76.29230769,
NA,2002,NA,72.53809524,
OC,2002,OC,69.405,
SA,2002,SA,71.13846154,
AllWorld,2002,AllWorld,69.18485225,
AF,2003,AF,55.64074074,
AS,2003,AS,70.8,
EU,2003,EU,76.49230769,
NA,2003,NA,72.70952381,
OC,2003,OC,69.63,
SA,2003,SA,71.26153846,
AllWorld,2003,AllWorld,69.42235178,
AF,2004,AF,56.14074074,
AS,2004,AS,71.13448276,
EU,2004,EU,76.90512821,
NA,2004,NA,72.81904762,
OC,2004,OC,69.705,
SA,2004,SA,71.63076923,
AllWorld,2004,AllWorld,69.72252809,
AF,2005,AF,56.67407407,
AS,2005,AS,71.34482759,
EU,2005,EU,77.07435897,
NA,2005,NA,73.15238095,
OC,2005,OC,69.88,
SA,2005,SA,71.94615385,
AllWorld,2005,AllWorld,70.01196591,
AF,2006,AF,57.30185185,
AS,2006,AS,71.6137931,
EU,2006,EU,77.46923077,
NA,2006,NA,73.41904762,
OC,2006,OC,70,
SA,2006,SA,72.23846154,
AllWorld,2006,AllWorld,70.34039748,
AF,2007,AF,57.87037037,
AS,2007,AS,71.93793103,
EU,2007,EU,77.63333333,
NA,2007,NA,73.61904762,
OC,2007,OC,70.085,
SA,2007,SA,72.41538462,
AllWorld,2007,AllWorld,70.59351116,
AF,2008,AF,58.43333333,
AS,2008,AS,72.26896552,
EU,2008,EU,77.98717949,
NA,2008,NA,73.81904762,
OC,2008,OC,70.225,
SA,2008,SA,72.65384615,
AllWorld,2008,AllWorld,70.89789535,
AF,2009,AF,59.05555556,
AS,2009,AS,72.64137931,
EU,2009,EU,78.25384615,
NA,2009,NA,74.12857143,
OC,2009,OC,70.23,
SA,2009,SA,72.95384615,
AllWorld,2009,AllWorld,71.2105331,
AF,2010,AF,59.67222222,
AS,2010,AS,73,
EU,2010,EU,78.48717949,
NA,2010,NA,73.56190476,
OC,2010,OC,70.365,
SA,2010,SA,73.18461538,
AllWorld,2010,AllWorld,71.37848698,
AF,2011,AF,60.28518519,
AS,2011,AS,73.13793103,
EU,2011,EU,78.83333333,
NA,2011,NA,74.51428571,
OC,2011,OC,70.605,
SA,2011,SA,73.42307692,
AllWorld,2011,AllWorld,71.79980203,
AF,2012,AF,60.87962963,
AS,2012,AS,73.25517241,
EU,2012,EU,78.90512821,
NA,2012,NA,74.7,
OC,2012,OC,70.695,
SA,2012,SA,73.62307692,
AllWorld,2012,AllWorld,72.00966786,
AF,2013,AF,61.41851852,
AS,2013,AS,73.44827586,
EU,2013,EU,79.12307692,
NA,2013,NA,74.87142857,
OC,2013,OC,70.76,
SA,2013,SA,73.83846154,
AllWorld,2013,AllWorld,72.24329357,
AF,2014,AF,61.84814815,
AS,2014,AS,73.58275862,
EU,2014,EU,79.39230769,
NA,2014,NA,74.9,
OC,2014,OC,70.88,
SA,2014,SA,74.01538462,
AllWorld,2014,AllWorld,72.43643318,
AF,2015,AF,62.33333333,
AS,2015,AS,73.85517241,
EU,2015,EU,79.38717949,
NA,2015,NA,74.97619048,
OC,2015,OC,70.995,
SA,2015,SA,74.24615385,
AllWorld,2015,AllWorld,72.63217159,
AF,2016,AF,62.86111111,
AS,2016,AS,74.07586207,
EU,2016,EU,79.70769231,
NA,2016,NA,75.01428571,
OC,2016,OC,71.16,
SA,2016,SA,74.33076923,
AllWorld,2016,AllWorld,72.85828674,
AF,2017,AF,63.28333333,
AS,2017,AS,74.43103448,
EU,2017,EU,79.85897436,
NA,2017,NA,75.09047619,
OC,2017,OC,71.275,
SA,2017,SA,74.56153846,
AllWorld,2017,AllWorld,73.0833928,
AF,2018,AF,63.59444444,
AS,2018,AS,74.60344828,
EU,2018,EU,79.98205128,
NA,2018,NA,75.14285714,
OC,2018,OC,71.41,
SA,2018,SA,74.65384615,
AllWorld,2018,AllWorld,73.23110788,
AF,2019,AF,63.93333333,
AS,2019,AS,74.77931034,
EU,2019,EU,80.26153846,
NA,2019,NA,75.26190476,
OC,2019,OC,71.64,
SA,2019,SA,74.75384615,
AllWorld,2019,AllWorld,73.43832218,
AF,2020,AF,63.47037037,
AS,2020,AS,73.57241379,
EU,2020,EU,79.35641026,
NA,2020,NA,74.64285714,
OC,2020,OC,71.59,
SA,2020,SA,73.38461538,
AllWorld,2020,AllWorld,72.66944449,
AF,2021,AF,62.76851852,
AS,2021,AS,73.28965517,
EU,2021,EU,79.08205128,
NA,2021,NA,74.02857143,
OC,2021,OC,71.465,
SA,2021,SA,72.03846154,
AllWorld,2021,AllWorld,72.11204299,
AF,2022,AF,,63.21481481
AS,2022,AS,,73.78965517
EU,2022,EU,,79.77179487
NA,2022,NA,,74.9
OC,2022,OC,,72.08
SA,2022,SA,,73.06153846
AllWorld,2022,AllWorld,,72.80296722
AF,2023,AF,,64.18518519
AS,2023,AS,,74.83103448
EU,2023,EU,,80.58974359
NA,2023,NA,,75.71904762
OC,2023,OC,,72.235
SA,2023,SA,,75.5
AllWorld,2023,AllWorld,,73.84333515
AF,2024,AF,,64.96481481
AS,2024,AS,,75.65517241
EU,2024,EU,,81.04615385
NA,2024,NA,,76.08095238
OC,2024,OC,,72.42
SA,2024,SA,,75.66153846
AllWorld,2024,AllWorld,,74.30477199
AF,2025,AF,,65.17407407
AS,2025,AS,,75.82758621
EU,2025,EU,,81.2
NA,2025,NA,,76.24285714
OC,2025,OC,,72.57
SA,2025,SA,,75.81538462
AllWorld,2025,AllWorld,,74.47165034
AF,2026,AF,,65.37962963
AS,2026,AS,,75.9862069
EU,2026,EU,,81.35897436
NA,2026,NA,,76.40952381
OC,2026,OC,,72.725
SA,2026,SA,,76.00769231
AllWorld,2026,AllWorld,,74.6445045
AF,2027,AF,,65.57222222
AS,2027,AS,,76.14482759
EU,2027,EU,,81.50512821
NA,2027,NA,,76.58571429
OC,2027,OC,,72.875
SA,2027,SA,,76.16153846
AllWorld,2027,AllWorld,,74.80740513
AF,2028,AF,,65.75555556
AS,2028,AS,,76.30689655
EU,2028,EU,,81.65128205
NA,2028,NA,,76.76190476
OC,2028,OC,,73.015
SA,2028,SA,,76.33846154
AllWorld,2028,AllWorld,,74.97151674
AF,2029,AF,,65.94814815
AS,2029,AS,,76.47586207
EU,2029,EU,,81.78974359
NA,2029,NA,,76.92857143
OC,2029,OC,,73.175
SA,2029,SA,,76.51538462
AllWorld,2029,AllWorld,,75.13878498
AF,2030,AF,,66.14259259
AS,2030,AS,,76.63103448
EU,2030,EU,,81.94358974
NA,2030,NA,,77.11428571
OC,2030,OC,,73.305
SA,2030,SA,,76.67692308
AllWorld,2030,AllWorld,,75.3022376
AF,2031,AF,,66.31666667
AS,2031,AS,,76.79310345
EU,2031,EU,,82.09230769
NA,2031,NA,,77.28095238
OC,2031,OC,,73.455
SA,2031,SA,,76.84615385
AllWorld,2031,AllWorld,,75.46403067
AF,2032,AF,,66.49444444
AS,2032,AS,,76.95517241
EU,2032,EU,,82.22820513
NA,2032,NA,,77.44761905
OC,2032,OC,,73.605
SA,2032,SA,,77.01538462
AllWorld,2032,AllWorld,,75.62430427
AF,2033,AF,,66.67222222
AS,2033,AS,,77.09310345
EU,2033,EU,,82.36923077
NA,2033,NA,,77.60952381
OC,2033,OC,,73.74
SA,2033,SA,,77.19230769
AllWorld,2033,AllWorld,,75.77939799
AF,2034,AF,,66.8537037
AS,2034,AS,,77.27241379
EU,2034,EU,,82.51794872
NA,2034,NA,,77.76190476
OC,2034,OC,,73.88
SA,2034,SA,,77.35384615
AllWorld,2034,AllWorld,,75.93996952
AF,2035,AF,,67.03333333
AS,2035,AS,,77.41034483
EU,2035,EU,,82.66410256
NA,2035,NA,,77.92857143
OC,2035,OC,,74.02
SA,2035,SA,,77.5
AllWorld,2035,AllWorld,,76.09272536
AF,2036,AF,,67.19444444
AS,2036,AS,,77.56896552
EU,2036,EU,,82.7974359
NA,2036,NA,,78.07619048
OC,2036,OC,,74.17
SA,2036,SA,,77.67692308
AllWorld,2036,AllWorld,,76.24732657
AF,2037,AF,,67.36851852
AS,2037,AS,,77.72758621
EU,2037,EU,,82.94358974
NA,2037,NA,,78.23809524
OC,2037,OC,,74.32
SA,2037,SA,,77.84615385
AllWorld,2037,AllWorld,,76.40732393
AF,2038,AF,,67.53333333
AS,2038,AS,,77.88275862
EU,2038,EU,,83.08461538
NA,2038,NA,,78.3952381
OC,2038,OC,,74.46
SA,2038,SA,,78
AllWorld,2038,AllWorld,,76.55932424
AF,2039,AF,,67.70925926
AS,2039,AS,,78.03103448
EU,2039,EU,,83.21538462
NA,2039,NA,,78.55714286
OC,2039,OC,,74.605
SA,2039,SA,,78.16153846
AllWorld,2039,AllWorld,,76.71322661
AF,2040,AF,,67.86851852
AS,2040,AS,,78.18275862
EU,2040,EU,,83.35128205
NA,2040,NA,,78.7
OC,2040,OC,,74.74
SA,2040,SA,,78.33076923
AllWorld,2040,AllWorld,,76.8622214
AF,2041,AF,,68.03518519
AS,2041,AS,,78.34137931
EU,2041,EU,,83.48717949
NA,2041,NA,,78.86190476
OC,2041,OC,,74.88
SA,2041,SA,,78.49230769
AllWorld,2041,AllWorld,,77.01632607
AF,2042,AF,,68.20185185
AS,2042,AS,,78.48965517
EU,2042,EU,,83.62307692
NA,2042,NA,,79.01428571
OC,2042,OC,,75.015
SA,2042,SA,,78.63846154
AllWorld,2042,AllWorld,,77.16372187
AF,2043,AF,,68.36111111
AS,2043,AS,,78.63793103
EU,2043,EU,,83.76410256
NA,2043,NA,,79.17142857
OC,2043,OC,,75.155
SA,2043,SA,,78.80769231
AllWorld,2043,AllWorld,,77.31621093
AF,2044,AF,,68.51296296
AS,2044,AS,,78.7862069
EU,2044,EU,,83.9
NA,2044,NA,,79.32857143
OC,2044,OC,,75.3
SA,2044,SA,,78.97692308
AllWorld,2044,AllWorld,,77.46744406
AF,2045,AF,,68.67592593
AS,2045,AS,,78.94137931
EU,2045,EU,,84.03076923
NA,2045,NA,,79.49047619
OC,2045,OC,,75.445
SA,2045,SA,,79.1
AllWorld,2045,AllWorld,,77.61392511
AF,2046,AF,,68.82222222
AS,2046,AS,,79.07931034
EU,2046,EU,,84.15897436
NA,2046,NA,,79.63333333
OC,2046,OC,,75.575
SA,2046,SA,,79.29230769
AllWorld,2046,AllWorld,,77.76019133
AF,2047,AF,,68.98518519
AS,2047,AS,,79.23103448
EU,2047,EU,,84.29487179
NA,2047,NA,,79.78571429
OC,2047,OC,,75.71
SA,2047,SA,,79.44615385
AllWorld,2047,AllWorld,,77.9088266
AF,2048,AF,,69.12962963
AS,2048,AS,,79.37931034
EU,2048,EU,,84.43333333
NA,2048,NA,,79.94285714
OC,2048,OC,,75.855
SA,2048,SA,,79.58461538
AllWorld,2048,AllWorld,,78.05412431
AF,2049,AF,,69.28888889
AS,2049,AS,,79.53103448
EU,2049,EU,,84.56666667
NA,2049,NA,,80.0952381
OC,2049,OC,,75.975
SA,2049,SA,,79.75384615
AllWorld,2049,AllWorld,,78.20177905
AF,2050,AF,,69.44444444
AS,2050,AS,,79.67586207
EU,2050,EU,,84.69230769
NA,2050,NA,,80.25714286
OC,2050,OC,,76.125
SA,2050,SA,,79.88461538
AllWorld,2050,AllWorld,,78.34656207
AF,2051,AF,,69.58518519
AS,2051,AS,,79.8137931
EU,2051,EU,,84.83076923
NA,2051,NA,,80.38571429
OC,2051,OC,,76.245
SA,2051,SA,,80.04615385
AllWorld,2051,AllWorld,,78.48443594
AF,2052,AF,,69.73518519
AS,2052,AS,,79.96551724
EU,2052,EU,,84.94358974
NA,2052,NA,,80.54285714
OC,2052,OC,,76.39
SA,2052,SA,,80.20769231
AllWorld,2052,AllWorld,,78.63080694
AF,2053,AF,,69.90185185
AS,2053,AS,,80.12413793
EU,2053,EU,,85.08717949
NA,2053,NA,,80.6952381
OC,2053,OC,,76.53
SA,2053,SA,,80.36153846
AllWorld,2053,AllWorld,,78.7833243
AF,2054,AF,,70.03703704
AS,2054,AS,,80.24827586
EU,2054,EU,,85.21025641
NA,2054,NA,,80.83333333
OC,2054,OC,,76.67
SA,2054,SA,,80.49230769
AllWorld,2054,AllWorld,,78.91520172
AF,2055,AF,,70.18333333
AS,2055,AS,,80.39310345
EU,2055,EU,,85.33589744
NA,2055,NA,,80.9952381
OC,2055,OC,,76.81
SA,2055,SA,,80.65384615
AllWorld,2055,AllWorld,,79.06190308
AF,2056,AF,,70.32592593
AS,2056,AS,,80.54137931
EU,2056,EU,,85.46923077
NA,2056,NA,,81.12857143
OC,2056,OC,,76.935
SA,2056,SA,,80.79230769
AllWorld,2056,AllWorld,,79.19873585
AF,2057,AF,,70.47222222
AS,2057,AS,,80.67931034
EU,2057,EU,,85.5974359
NA,2057,NA,,81.28571429
OC,2057,OC,,77.07
SA,2057,SA,,80.94615385
AllWorld,2057,AllWorld,,79.3418061
AF,2058,AF,,70.62222222
AS,2058,AS,,80.82068966
EU,2058,EU,,85.72051282
NA,2058,NA,,81.41904762
OC,2058,OC,,77.19
SA,2058,SA,,81.09230769
AllWorld,2058,AllWorld,,79.47746333
AF,2059,AF,,70.76666667
AS,2059,AS,,80.96206897
EU,2059,EU,,85.85128205
NA,2059,NA,,81.57619048
OC,2059,OC,,77.335
SA,2059,SA,,81.23846154
AllWorld,2059,AllWorld,,79.62161162
AF,2060,AF,,70.9037037
AS,2060,AS,,81.09655172
EU,2060,EU,,85.96666667
NA,2060,NA,,81.71904762
OC,2060,OC,,77.475
SA,2060,SA,,81.37692308
AllWorld,2060,AllWorld,,79.75631547
AF,2061,AF,,71.04074074
AS,2061,AS,,81.24482759
EU,2061,EU,,86.1
NA,2061,NA,,81.87142857
OC,2061,OC,,77.605
SA,2061,SA,,81.54615385
AllWorld,2061,AllWorld,,79.90135846
AF,2062,AF,,71.18703704
AS,2062,AS,,81.37931034
EU,2062,EU,,86.21282051
NA,2062,NA,,82.00952381
OC,2062,OC,,77.74
SA,2062,SA,,81.67692308
AllWorld,2062,AllWorld,,80.03426913
AF,2063,AF,,71.32592593
AS,2063,AS,,81.51724138
EU,2063,EU,,86.34871795
NA,2063,NA,,82.14285714
OC,2063,OC,,77.865
SA,2063,SA,,81.8
AllWorld,2063,AllWorld,,80.16662373
AF,2064,AF,,71.46851852
AS,2064,AS,,81.66896552
EU,2064,EU,,86.45897436
NA,2064,NA,,82.29047619
OC,2064,OC,,77.995
SA,2064,SA,,81.95384615
AllWorld,2064,AllWorld,,80.30596346
AF,2065,AF,,71.6
AS,2065,AS,,81.79310345
EU,2065,EU,,86.58717949
NA,2065,NA,,82.43809524
OC,2065,OC,,78.13
SA,2065,SA,,82.09230769
AllWorld,2065,AllWorld,,80.44011431
AF,2066,AF,,71.74444444
AS,2066,AS,,81.93103448
EU,2066,EU,,86.71538462
NA,2066,NA,,82.57619048
OC,2066,OC,,78.265
SA,2066,SA,,82.23846154
AllWorld,2066,AllWorld,,80.57841926
AF,2067,AF,,71.88148148
AS,2067,AS,,82.06206897
EU,2067,EU,,86.83333333
NA,2067,NA,,82.71428571
OC,2067,OC,,78.395
SA,2067,SA,,82.36153846
AllWorld,2067,AllWorld,,80.70795133
AF,2068,AF,,72.02592593
AS,2068,AS,,82.21034483
EU,2068,EU,,86.94615385
NA,2068,NA,,82.86190476
OC,2068,OC,,78.535
SA,2068,SA,,82.51538462
AllWorld,2068,AllWorld,,80.849119
AF,2069,AF,,72.15555556
AS,2069,AS,,82.33448276
EU,2069,EU,,87.06666667
NA,2069,NA,,83
OC,2069,OC,,78.65
SA,2069,SA,,82.63076923
AllWorld,2069,AllWorld,,80.97291237
AF,2070,AF,,72.29074074
AS,2070,AS,,82.48275862
EU,2070,EU,,87.18974359
NA,2070,NA,,83.12857143
OC,2070,OC,,78.79
SA,2070,SA,,82.79230769
AllWorld,2070,AllWorld,,81.11235368
